Name,Instance Count,Size (bytes)
javax.management.openmbean.SimpleType,14,560
org.apache.catalina.WebResource[ ],14,336
org.apache.tomcat.util.collections.ManagedConcurrentWeakHashMap$Key,14,560
org.apache.tomcat.util.digester.ObjectCreateRule,14,448
java.lang.invoke.BoundMethodHandle$SpeciesData,13,624
java.lang.invoke.BoundMethodHandle$SpeciesData[ ],13,520
java.lang.invoke.BoundMethodHandle$Species_LJ,13,520
java.text.NumberFormat$Field,13,208
java.util.Properties,13,728
java.util.concurrent.LinkedBlockingQueue$Node,13,312
javax.management.openmbean.CompositeType,13,728
jdk.internal.reflect.BootstrapConstructorAccessorImpl,13,208
org.apache.coyote.AsyncStateMachine$AsyncState,13,312
org.apache.tomcat.util.digester.SetNextRule,13,416
sun.security.jca.ProviderConfig,13,416
com.sun.org.apache.xerces.internal.impl.dtd.XMLElementDecl,12,384
java.lang.invoke.MethodType[ ],12,512
java.net.StandardSocketOptions$StdSocketOption,12,288
java.util.Collections$SingletonSet,12,192
java.util.LinkedHashSet,12,192
java.util.concurrent.LinkedBlockingQueue,12,576
java.util.concurrent.ThreadPoolExecutor,12,864
javax.management.NotificationBroadcasterSupport,12,288
org.apache.catalina.LifecycleState,12,384
org.apache.catalina.core.ContainerBase$StartStopThreadFactory,12,288
org.apache.catalina.core.StandardPipeline,12,480
com.sun.jmx.mbeanserver.DefaultMXBeanMappingFactory$CompositeMapping,11,528
java.lang.OutOfMemoryError,11,440
java.lang.ThreadLocal$ThreadLocalMap,11,264
java.lang.ThreadLocal$ThreadLocalMap$Entry[ ],11,1072
java.lang.invoke.MethodHandleImpl$Intrinsic,11,264
java.nio.DirectByteBuffer,11,704
java.time.ZoneOffset,11,264
java.util.Collections$UnmodifiableMap,11,352
java.util.Collections$UnmodifiableRandomAccessList,11,264
java.util.RegularEnumSet,11,352
sun.util.resources.Bundles$BundleReference,11,440
sun.util.resources.Bundles$CacheKey,11,352
com.sun.org.apache.xerces.internal.impl.XMLEntityManager$EncodingInfo,10,320
com.sun.org.apache.xerces.internal.impl.XMLScanner$NameType,10,240
com.sun.org.apache.xerces.internal.xni.QName[ ],10,2848
java.lang.invoke.MemberName[ ],10,1440
java.lang.invoke.VarForm,10,240
java.nio.charset.CoderResult,10,240
java.nio.file.StandardOpenOption,10,240
java.util.Formatter$Flags,10,160
java.util.LinkedList,10,320
org.apache.catalina.mapper.Mapper$MappedWrapper,10,240
org.apache.catalina.mbeans.ContainerMBean,10,400
org.apache.tomcat.util.descriptor.tld.TldRuleSet$GenericBooleanRule,10,240
org.apache.tomcat.util.digester.CallParamRule,10,400
sun.invoke.util.Wrapper,10,560
sun.nio.fs.NativeBuffer,10,320
sun.nio.fs.NativeBuffer$Deallocator,10,240
sun.util.locale.provider.LocaleResources$ResourceReference,10,400
com.jprofiler.agent.JProfilerThreadManager,9,360
com.jprofiler.agent.probe.CallSite,9,288
com.sun.org.apache.xerces.internal.utils.XMLSecurityManager$Limit,9,360
java.util.ImmutableCollections$MapN,9,288
